Region,STATE,Uninsured,HighSchoolGradPct,HighSchoolGradRank,BachelorPct,BachelorRank,AdvancedPct,GDPperCapita,DebtLow,DebtHigh,Year,Population,ViolentCrimeTotal,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,ViolentCrimePer1000,HighSchoolRankBucket,Happiness
Southeast,Alabama ,12.1,0.8530,45,0.2450,45,0.0910,73478,1.33,1.41,2014,4849377,20727,276,1436,2005,4701,13745,154094,39715,104238,10141,4.274157278,38-51,7.973753653
Alaska,Alaska ,17.2,0.9240,5,0.2900,28,0.1040,38559,1.62,1.75,2014,736732,4684,41,555,771,629,3243,20334,3150,15445,1739,6.357807181,0-13,7.443337381
Intermountain,Arizona ,13.6,0.8650,39,0.2840,32,0.1070,34965,1.75,1.89,2014,6731484,26916,319,2464,3378,6249,16970,215240,43562,154091,17587,3.998523951,38-51,7.419104784
Midwest,Arkansas ,11.8,0.8560,44,0.2200,49,0.0790,52974,1.24,1.33,2014,2966369,14243,165,1182,1763,2050,10265,99018,24790,68627,5601,4.801493004,38-51,7.732318841
Pacific,California ,12.4,0.8250,51,0.3260,15,0.1220,49639,1.62,1.75,2014,38802500,153709,1699,8398,11527,48680,91803,947192,202670,592670,151852,3.961316925,38-51,7.418085252
Intermountain,Colorado ,10.3,0.9110,14,0.3940,3,0.1460,63502,1.75,1.89,2014,5355866,16554,151,2121,3039,3039,10325,135510,23472,99464,12574,3.090816686,14-26,8.727826553
Northeast,Connecticut ,6.9,0.9020,22,0.3840,5,0.1700,62174,1.33,1.41,2014,3596677,8522,86,571,782,3159,4495,69070,11955,51005,6110,2.369409319,14-26,9.032093533
Northeast,Delaware ,7.8,0.8930,27,0.3100,20,0.1290,163274,1.51,1.62,2014,935614,4576,54,249,386,1269,2867,27900,5768,20865,1267,4.890905865,27-38,8.613188633
National Capital,District of Columbia ,5.3,0.9030,18,0.5660,1,0.3280,37705,0.39,1.09,2014,658893,8199,105,352,472,3497,4125,34147,3466,26898,3783,12.44359858,14-26,7.766729468
Southeast,Florida ,16.6,0.8760,33,0.2850,31,0.1030,42191,1.62,1.75,2014,19893297,107521,1149,6051,8563,24914,72895,679446,143220,493647,42579,5.404885877,27-38,7.240203401
Southeast,Georgia ,15.8,0.8630,40,0.2990,25,0.1140,49513,1.41,1.51,2014,10097343,38097,580,2159,3048,12417,22052,331316,76428,228034,26854,3.772972751,38-51,7.477739111
Pacific,Hawaii ,5.3,0.9160,12,0.3200,19,0.1080,34094,1.89,2.13,2014,1419561,3680,26,314,445,1107,2102,43297,7778,31640,3879,2.592350734,0-13,8.794254489
Pacific,Idaho ,13.6,0.9020,20,0.2680,40,0.0850,52172,1.75,1.89,2014,1634464,3468,32,468,609,204,2623,30316,6428,22227,1661,2.121796503,14-26,8.253115844
Midwest,Illinois ,9.7,0.8860,31,0.3340,13,0.1300,43064,1.09,1.24,2014,12880580,47663,685,3081,4159,15299,27520,267385,50008,199926,17451,3.700376846,27-38,8.166935329
Midwest,Indiana ,11.9,0.8830,32,0.2530,43,0.0920,48001,1.09,1.24,2014,6596855,24099,330,1615,2186,6897,14686,174776,36893,124022,13861,3.653104396,27-38,8.019903781
Midwest,Iowa ,6.2,0.9180,9,0.2770,36,0.0900,45514,1.09,1.24,2014,3107126,8497,60,828,1128,1045,6264,65056,14428,46477,4151,2.734681503,0-13,8.962325305
